word,count
the,2299255
and,1531764
a,1264699
to,1259840
it,1134873
i,1055596
for,918901
this,752327
is,747371
my,740259
"",692228
of,678086
with,505910
was,478958
in,452294
but,413244
that,367173
are,354218
not,335650
so,333126
on,324236
as,313183
they,307572
great,293015
very,287463
have,274048
you,272004
we,220277
be,206716
love,203127
one,196564
loves,194814
these,189199
all,176396
just,176169
like,176024
he,175473
them,170446
it.,167606
little,160024
old,159490
would,156401
good,155730
she,153997
had,148822
at,146447
can,137105
year,136860
when,135150
up,133821
will,133576
or,132233
if,129765
were,129002
it's,128759
really,127953
loved,127170
kids,126209
bought,125756
fun,125120
has,124374
get,121984
out,121477
/><br,117441
her,112975
than,107207
easy,106798
more,106162
from,105929
only,104284
got,103366
play,99089
son,96932
well,96013
an,93734
no,92972
what,91888
game,91377
daughter,91124
gift,91101
our,90325
some,87586
because,84315
perfect,83544
his,83439
use,82968
quality,82194
there,81357
other,80658
even,80035
much,79908
about,79572
do,79503
nice,79011
put,77699
time,74996
your,74181
toy,73890
set,73881
product,72822
cute,71571
made,70886
also,70110
pieces,68914
2,68383
it’s,67729
after,64982
too,64135
came,64109
which,62516
how,62465
make,62188
still,60816
buy,59313
small,59022
it!,59014
3,58611
two,58276
me,58113
off,55874
first,55619
by,54527
playing,53786
super,53782
don't,53729
been,53102
could,52905
did,52856
box,52676
their,52371
recommend,51660
used,51507
over,50697
grandson,50561
who,49968
any,49091
pretty,48485
work,47087
them.,46987
its,46866
price,46738
back,46497
size,46476
christmas,46399
looks,45899
then,45682
4,45509
does,44603
lot,44473
-,44180
worth,44072
way,43656
into,43207
together,43116
5,42767
few,42749
definitely,42684
now,41592
big,41579
am,41508
different,41339
happy,40675
fit,40391
i'm,40353
him,40308
many,40190
think,39993
cards,39797
enough,39238
see,39051
birthday,38994
hard,38695
purchased,38592
look,38416
better,38114
go,37851
bit,37795
granddaughter,37334
new,37329
keep,36945
didn't,36770
"it,",36766
around,36673
thing,36556
puzzle,36139
come,36127
plastic,35336
take,35272
comes,35083
works,34985
thought,34563
while,34480
each,34421
&,34269
right,33785
need,33218
sure,32955
doesn't,32499
absolutely,32184
makes,31977
going,31944
since,31721
every,31684
best,31491
want,31168
looking,31154
able,30522
before,30319
received,30247
item,30207
long,29958
same,29905
most,29558
know,29417
another,29405
well.,29399
something,28755
ordered,28682
arrived,28682
find,28582
both,28389
give,27942
everything,27815
baby,27751
child,27693
played,27661
colors,27557
toys,27388
wanted,27260
being,27223
should,27141
took,27061
can't,26976
using,26901
wish,26387
hold,26370
last,26302
doll,26287
down,26237
without,25923
sturdy,25780
exactly,25733
actually,25628
figure,25403
piece,25146
6,25055
/>the,24999
never,24973
time.,24885
smaller,24731
highly,24635
day,24601
money,24449
family,24401
getting,24197
seems,24063
easily,24032
battery,23873
things,23623
toy.,23429
product.,23390
this.,23377
game.,23251
worked,23226
/>i,23195
where,23156
awesome,22959
water,22937
quality.,22890
party,22787
once,22774
say,22581
disappointed,22540
1,22430
price.,22367
hours,22341
cheap,22275
years,22262
cool,21960
don’t,21958
having,21927
batteries,21902
color,21895
soft,21892
kid,21865
car,21838
gave,21727
purchase,21543
always,21483
lots,21451
together.,21152
great.,21088
through,20954
broke,20953
favorite,20937
light,20850
.,20771
card,20764
almost,20760
fast,20694
such,20477
month,20470
missing,20385
quite,20309
part,19863
i've,19846
fun.,19704
children,19481
excellent,19426
high,19425
gift.,19371
three,19350
own,19334
real,19303
top,19303
found,19288
likes,19220
enjoyed,19113
already,19092
excited,19058
feel,18934
ones,18887
picture,18854
up.,18834
enjoy,18794
liked,18746
expected,18715
far,18605
several,18554
beautiful,18523
board,18324
didn’t,18172
open,17914
though,17815
order,17687
stay,17535
opened,17519
10,17516
durable,17457
again.,17383
people,17288
games,17281
help,17272
set.,17171
couple,17133
inside,17119
extra,17038
i’m,17028
again,16993
parts,16942
old.,16916
one.,16837
drone,16812
plays,16770
"however,",16727
large,16710
return,16678
buying,16578
those,16366
instructions,16347
hit,16304
months,16251
too.,16120
may,16079
tried,16074
nephew,16063
8,16052
needed,15982
overall,15959
making,15951
looked,15907
try,15888
difficult,15834
probably,15818
lego,15789
gets,15734
times,15579
especially,15546
bad,15545
learning,15542
putting,15537
side,15507
niece,15484
amazon,15468
seem,15325
7,15236
money.,15207
away,15088
said,15003
out.,14996
went,14960
us,14950
yr,14928
thank,14918
whole,14912
bag,14843
second,14822
use.,14802
add,14705
less,14593
ever,14562
nothing,14559
paint,14551
apart,14514
read,14446
build,14431
next,14407
trying,14336
bigger,14308
doesn’t,14191
cute.,14189
that's,14076
learn,14064
maybe,14001
minutes,14000
working,13986
days,13856
friends,13822
amazing,13798
huge,13791
broken,13709
might,13665
stars,13628
started,13616
waste,13613
toddler,13597
kids.,13585
case,13557
made.,13494
until,13411
takes,13390
box.,13362
christmas.,13339
turn,13333
house,13326
fits,13320
all.,13320
package,13192
anything,13182
value,13153
expected.,13138
kind,13130
fine,12989
keeps,12987
young,12894
star,12789
addition,12773
off.,12643
within,12627
however,12591
everyone,12507
half,12459
problem,12435
kit,12337
won't,12325
sets,12321
puzzles,12318
work.,12306
end,12294
simple,12275
they're,12244
let,12236
instead,12186
play.,12158
isn't,12138
reviews,12100
lights,12070
birthday.,12061
place,12058
wasn't,12037
head,12033
these.,11991
wait,11976
great!,11969
tiny,11916
quickly,11910
must,11877
under,11854
pictures,11847
items,11795
hands,11781
husband,11766
older,11755
extremely,11743
with.,11730
ball,11702
store,11680
balloons,11672
kept,11654
them!,11530
pieces.,11469
adorable,11467
full,11412
girl,11397
hand,11392
move,11390
grand,11382
",",11352
fun!,11287
four,11273
included,11261
why,11238
break,11238
dice,11214
can’t,11192
pop,11164
yet,11160
original,11132
says,10979
stickers,10940
sound,10940
cars,10923
you're,10904
stand,10898
saw,10892
fly,10878
during,10832
present,10748
sent,10683
fall,10658
good.,10642
girls,10609
on.,10607
room,10589
material,10550
boys,10548
he's,10547
building,10525
glad,10420
wouldn't,10411
age,10400
this!,10378
balls,10314
!,10305
bottom,10303
pool,10296
goes,10273
design,10240
larger,10235
quick,10232
least,10214
start,10205
air,10189
table,10186
bright,10182
someone,10151
dolls,10140
others,10118
purchase.,10105
brand,10105
stick,10063
assemble,10058
cute!,10033
9,9994
left,9989
party.,9979
couldn't,9975
disappointed.,9970
pack,9967
anyone,9919
completely,9914
"cute,",9911
"quality,",9895
shipping,9882
held,9875
"them,",9873
enjoys,9847
fan,9782
black,9753
control,9735
book,9726
idea,9689
needs,9688
version,9614
figures,9589
perfectly,9573
day.,9568
issue,9525
:),9519
doing,9518
pleased,9489
paper,9440
review,9409
along,9391
itself,9385
clear,9331
wonderful,9289
"well,",9220
"great,",9190
cut,9170
front,9134
expect,9131
done,9128
company,9122
expensive,9108
packaging,9079
longer,9058
replacement,9020
cards.,9004
amount,8921
hair,8906
white,8870
adults,8844
fact,8808
adult,8764
truck,8749
though.,8745
i'd,8731
turned,8715
"game,",8713
grandkids,8712
although,8703
here,8702
fell,8670
me.,8660
daughters,8660
perfect.,8650
boy,8647
due,8634
show,8628
puzzle.,8617
glue,8599
ok,8597
easily.,8591
face,8580
pull,8577
given,8557
run,8529
seller,8519
size.,8510
remote,8457
supposed,8452
heavy,8446
ended,8445
wheels,8438
lost,8416
poor,8413
pay,8402
recommend.,8382
tell,8344
cannot,8341
home,8260
wood,8254
close,8221
seen,8215
strong,8187
easier,8181
holds,8170
blue,8154
multiple,8149
friend,8126
complete,8119
night,8088
red,8085
younger,8068
totally,8060
feels,8060
cheaply,8043
deck,8036
outside,8030
durable.,8010
school,8000
toys.,7994
ages,7987
customer,7985
decent,7985
clean,7954
him.,7946
"fun,",7914
rather,7912
added,7910
deal,7903
guess,7858
collection,7851
costume,7849
haven't,7841
change,7831
"also,",7827
sturdy.,7825
sounds,7815
stuffed,7814
five,7811
taking,7807
motor,7768
plus,7750
y,7750
video,7750
giving,7690
variety,7689
de,7680
thin,7677
wrong,7665
mine,7635
holes,7635
weight,7627
reason,7626
sit,7618
stuck,7610
description,7599
built,7592
"toy,",7589
/>this,7570
life,7566
stuff,7557
decided,7542
"this,",7508
button,7502
handle,7497
her.,7493
nicely,7479
stopped,7479
there's,7472
week,7469
train,7443
either,7423
between,7395
"price,",7387
holding,7357
short,7356
solid,7354
number,7342
toy!,7338
regular,7318
she's,7293
paid,7292
12,7287
else,7286
track,7283
small.,7280
surprised,7264
push,7248
in.,7244
hope,7234
wooden,7165
point,7162
collection.,7158
for.,7158
returned,7149
similar,7132
"up,",7126
that.,7118
soon,7112
watch,7105
hot,7089
actual,7071
power,7068
dog,7065
detail,7059
uses,7043
described,7025
coming,6995
flying,6993
thanks,6984
sometimes,6976
seemed,6969
"product,",6961
game!,6958
grandson.,6936
wear,6933
20,6925
pick,6904
i’ve,6895
blocks,6893
letters,6893
low,6887
described.,6875
charge,6864
fairly,6827
music,6822
wants,6796
"time,",6792
halloween,6789
metal,6788
slightly,6775
weeks,6754
son's,6743
hole,6741
issues,6738
felt,6737
finally,6736
rc,6731
animals,6730
sons,6719
much.,6719
flimsy,6694
product!,6683
aren't,6668
fine.,6660
/>it,6654
item.,6651
doll.,6629
bubble,6624
spend,6620
immediately,6588
legs,6580
job,6568
spent,6545
forward,6537
bags,6532
care,6519
nice.,6512
line,6503
entire,6498
colors.,6480
"that,",6463
camera,6454
"together,",6434
it!!,6415
barbie,6391
hour,6391
service,6390
complaint,6372
type,6366
body,6360
damaged,6323
send,6323
believe,6311
too!,6291
now.,6283
lasted,6281
products,6279
helps,6273
rest,6264
impressed,6263
bath,6263
stop,6221
muy,6220
more.,6217
dress,6205
i'll,6199
understand,6196
otherwise,6170
space,6165
condition,6152
falling,6137
directions,6135
bubbles,6131
person,6126
house.,6121
plenty,6118
lol,6078
cost,6075
opening,6074
shipped,6073
gun,6067
hoping,6055
busy,6049
son.,6016
15,6006
expecting,5993
green,5989
mini,5984
packaged,5977
unless,5950
slide,5947
storage,5931
nerf,5927
it.<br,5920
challenging,5920
colorful,5918
30,5911
hang,5911
away.,5878
base,5874
players,5869
/>my,5860
action,5857
shape,5855
thinking,5821
mom,5814
"box,",5813
won’t,5784
sand,5772
myself,5754
attention,5752
we've,5740
perfect!,5733
replace,5713
unfortunately,5709
thick,5677
blast,5673
that’s,5664
quickly.,5653
/>,5653
condition.,5652
receive,5648
daughter.,5628
etc.,5621
back.,5613
animal,5610
wasn’t,5597
gifts,5585
daughter's,5584
attached,5584
"made,",5580
blow,5578
display,5572
parents,5563
picture.,5558
better.,5550
usually,5539
accessories,5533
cover,5530
barely,5519
single,5509
"set,",5502
they’re,5500
down.,5490
carry,5462
/>-,5461
you.,5447
rough,5444
assembly,5443
reading,5439
roll,5434
sister,5432
characters,5416
mind,5411
except,5408
knew,5407
feet,5404
these!,5386
ready,5377
"all,",5372
obsessed,5368
gotten,5363
asked,5363
fill,5362
cheaper,5361
dont,5360
around.,5360
model,5353
smell,5344
grandchildren,5303
price!,5297
"overall,",5292
save,5277
loose,5277
eyes,5272
watching,5232
swing,5229
special,5217
leave,5213
safe,5213
fantastic,5211
is.,5201
player,5199
pink,5198
wife,5197
"one,",5183
1/2,5178
wouldn’t,5160
"good,",5143
compared,5139
"sturdy,",5138
hours.,5135
brought,5083
throw,5080
la,5077
funko,5073
18,5067
details,5063
gift!,5061
children.,5058
match,5054
plan,5043
students,5015
returning,5005
granddaughter.,5003
do.,5001
figured,4999
be.,4997
cardboard,4995
free,4993
name,4993
later,4992
falls,4965
child.,4953
brother,4950
(and,4943
numbers,4940
fix,4933
guy,4932
purchasing,4915
"old,",4902
flat,4900
magnets,4893
kitchen,4892
11,4877
turns,4873
advertised,4872
gives,4870
loud,4865
screws,4851
phone,4846
grandsons,4842
delivered,4836
awesome.,4832
delivery,4831
you'll,4830
remove,4805
"gift,",4805
simply,4799
shapes,4797
dark,4781
easter,4769
floor,4766
recommend!,4758
rubber,4753
wheel,4749
careful,4748
photo,4744
total,4743
float,4741
literally,4734
art,4733
apart.,4728
ones.,4727
activity,4726
cat,4724
tape,4722
string,4715
para,4713
"size,",4712
buy.,4710
balloon,4708
plush,4704
foam,4695
tool,4689
experience,4685
clothes,4682
hands.,4677
que,4672
el,4671
"out,",4666
plastic.,4665
days.,4662
assemble.,4648
olds,4643
level,4640
shows,4636
teach,4636
noticed,4631
character,4628
melissa,4628
fully,4620
group,4615
six,4615
"pieces,",4612
rules,4607
course,4606
"so,",4600
own.,4589
standard,4586
adorable.,4576
he’s,4570
es,4554
against,4548
interesting,4541
bring,4540
perfectly.,4535
educational,4531
based,4525
often,4524
over.,4520
couldn’t,4517
unique,4514
games.,4513
realistic,4510
"small,",4500
problems,4491
recommended,4489
straight,4488
boxes,4482
normal,4478
ripped,4471
minutes.,4465
"use,",4463
keeping,4459
arms,4455
past,4453
happy.,4451
there.,4448
car.,4447
packs,4442
upon,4439
cause,4421
touch,4420
advertised.,4411
main,4408
dry,4407
poorly,4399
"but,",4385
kinda,4384
range,4384
follow,4382
sized,4368
taken,4367
features,4360
cake,4352
hat,4351
told,4350
door,4349
smooth,4349
onto,4347
running,4346
food,4331
screw,4325
awesome!,4322
batteries.,4322
colored,4319
disappointing,4316
"kids,",4313
thing.,4305
please,4303
seeing,4301
detailed,4285
toddlers,4284
project,4277
moving,4263
"though,",4260
sitting,4254
"cards,",4251
sort,4229
satisfied,4228
ago,4226
finished,4218
live,4211
cool.,4210
quality!,4210
broken.,4204
buttons,4198
"nice,",4195
thrilled,4195
designed,4192
write,4184
legos,4182
across,4179
isn’t,4176
granddaughters,4175
none,4170
"colors,",4158
constantly,4155
"off,",4152
flight,4152
true,4151
filled,4147
create,4146
become,4143
feature,4142
magnetic,4127
lose,4125
enjoying,4124
interested,4119
impossible,4109
family.,4108
basic,4103
basically,4081
realize,4072
matter,4062
crazy,4053
creative,4044
damage,4042
yet.,4040
dollar,4031
way.,4028
speed,4024
doug,4015
"on,",4010
fabric,4007
additional,4003
ordering,3995
"soft,",3995
lo,3993
2nd,3991
double,3978
remember,3977
soft.,3971
tiles,3968
beat,3961
figure.,3961
tight,3960
wars,3958
finish,3958
puzzles.,3957
--,3957
shown,3949
place.,3938
glow,3937
snap,3932
set!,3929
"me,",3925
picked,3924
long.,3924
machine,3923
screen,3920
check,3919
coloring,3917
noise,3914
"said,",3911
mostly,3903
helped,3902
comfortable,3885
considering,3881
(i,3872
mess,3868
value.,3860
honestly,3845
switch,3844
babies,3831
far.,3831
themed,3831
fast.,3827
entertained,3825
classic,3824
eye,3823
interest,3819
bunch,3814
mi,3813
challenge,3805
markers,3805
1st,3802
slime,3802
travel,3802
dinosaur,3802
step,3795
