word,count
great,204292
stars,181323
for,164802
five,144527
the,140807
and,114980
a,112242
it,94124
to,81850
fun,80300
good,80164
not,77726
my,67175
love,64097
very,54850
this,53558
i,53292
of,53034
but,50638
is,49507
cute,48114
...,43048
gift,42351
perfect,41689
quality,40416
nice,35818
toy,35165
with,35117
kids,34988
so,33757
as,32103
product,30207
loves,29723
was,29193
in,28420
loved,27241
game,26162
little,25837
one,24591
buy,22235
awesome,21915
old,21693
are,21569
four,21089
easy,21021
it!,20700
you,19763
like,19565
on,19298
worth,18397
what,17970
year,17823
just,17660
super,17450
price,16676
best,16670
all,15710
they,15588
small,15514
well,15470
these,15446
set,15202
than,14036
have,13916
made,13330
that,13319
your,13308
fun!,13239
"",13172
no,12985
really,12773
be,12753
money,12613
too,12310
it's,11991
excellent,11575
it.,11530
puzzle,11488
son,11351
three,11303
star,11190
missing,11113
beautiful,11111
them,10801
happy,10795
cool,10736
play,10683
daughter,10439
work,10219
works,10214
much,10050
value,9965
do,9941
get,9919
grandson,9906
cheap,9835
at,9644
up,9613
would,9428
use,9349
will,9260
two,9258
we,9225
-,9124
size,9105
adorable,9007
pieces,8902
time,8774
looks,8595
cute!,8502
doll,8316
pretty,8313
better,8257
don't,8186
amazing,8092
expected,7912
item,7832
2,7785
family,7769
poor,7708
sturdy,7570
more,7560
christmas,7519
baby,7472
disappointed,7425
box,7318
if,7271
&,7227
big,7224
great!,7216
out,7130
or,7037
party,6978
waste,6944
lots,6869
durable,6800
purchase,6793
granddaughter,6780
it’s,6770
an,6730
birthday,6708
he,6707
she,6695
only,6665
our,6616
ok,6586
3,6562
had,6525
does,6436
soft,6307
bad,6155
bought,6147
favorite,6121
exactly,6096
were,6045
don’t,6036
toy!,6034
fast,6011
came,5989
from,5973
broke,5892
cards,5849
recommend,5839
can,5798
kid,5738
first,5717
broken,5715
got,5628
5,5449
must,5376
toys,5306
its,5260
when,5209
fit,5194
has,5142
gift!,5139
way,5119
after,5089
toddler,5037
hard,5000
learning,4996
lego,4932
smaller,4910
wonderful,4774
4,4772
doesn't,4700
some,4688
arrived,4666
did,4627
game!,4615
off,4436
product!,4421
new,4395
car,4390
put,4320
figure,4310
!,4246
her,4235
child,4163
piece,4135
ever,4105
looking,4097
"fun,",4050
high,3994
me,3992
hours,3936
used,3925
even,3898
drone,3874
together,3863
lot,3834
still,3831
described,3828
hit,3822
look,3821
perfect!,3813
colors,3801
any,3795
could,3757
who,3736
make,3715
need,3702
children,3686
buy!,3680
easily,3615
worked,3614
damaged,3610
quality.,3549
1,3515
card,3513
absolutely,3493
addition,3484
real,3484
picture,3481
this!,3473
awesome!,3442
didn't,3431
young,3419
product.,3364
battery,3342
again,3320
by,3276
toddlers,3235
right,3230
playing,3213
"cute,",3201
long,3185
doesn’t,3165
customer,3162
last,3118
color,3106
many,3100
his,3098
go,3092
fantastic,3090
present,3079
plastic,3073
kit,3069
about,3054
thought,3020
day,3013
parts,2997
how,2995
cheaply,2988
highly,2987
received,2978
advertised,2953
enough,2951
junk,2904
tiny,2887
over,2858
there,2855
costume,2848
service,2825
6,2800
quality!,2799
fun.,2798
other,2785
every,2764
okay,2758
terrible,2756
needs,2742
makes,2732
price.,2726
pool,2679
definitely,2673
"quality,",2662
deal,2660
muy,2655
educational,2655
price!,2645
bit,2643
decent,2631
great.,2629
thing,2629
board,2611
toy.,2609
working,2599
idea,2582
them!,2581
wrong,2579
simple,2567
ages,2559
girls,2553
excelente,2548
light,2546
girl,2511
shipping,2510
most,2488
come,2469
water,2432
pop,2429
adorable!,2413
set!,2406
month,2398
nephew,2394
dice,2384
different,2364
yr,2357
wish,2357
keep,2334
horrible,2334
another,2328
kids!,2322
assemble,2315
.,2312
such,2307
puzzles,2303
liked,2288
ones,2287
difficult,2277
can't,2269
batteries,2267
wanted,2264
gift.,2259
niece,2237
didn’t,2234
fine,2233
everything,2214
quick,2208
"great,",2190
back,2188
barbie,2186
hold,2185
stickers,2185
apart,2184
large,2183
game.,2182
few,2181
should,2180
collection,2178
been,2177
flimsy,2175
never,2165
fits,2158
stay,2137
