asin,helpful_vote,images,parent_asin,rating,text,timestamp,title,user_id,verified_purchase
B006GBITXC,0,"",B006GBITXC,3.0,Cute but much smaller than I expected... but that's probably my fault for not checking measurements. Kids still like it--- anything Octonauts ;),,Cute but small...,AGKASBHYZPGTEPO6LWZPVJWB2BVA,true
B00112IBAW,0,"",B00112IBAW,5.0,My kids LOVE this game & it's great for all ages. It's too bad they discontinued this item. I waited a long time to find a used version to purchase!,,My kids LOVE this game & it's great for all ages,AGXVBIUFLFGMVLATYXHJYL4A5Q7Q,true
B08RXZD1Z2,0,"",B08RXZD1Z2,5.0,Got for grand son. He likes them. Lots of fun times. No issues,,Cute,AEQAYV7RXZEBXMQIQPL6KCT2CFWQ,true
B07FQ4T7N6,1,"",B07FQ4T7N6,5.0,"Bought for my grand daughter for Christmas, she loves it",,Good toy,AEQAYV7RXZEBXMQIQPL6KCT2CFWQ,true
B072KPPJSN,0,"",B072KPPJSN,5.0,Good as the original ❤️,,Works great,AEVPPTMG43C6GWSR7I2UGRQN7WFQ,true
B000J0OYJO,1,"",B000J0OYJO,5.0,"Got this for my granddaughters ages 2 and 4. The 2 year old did one and said she was done (which I kind of figured she would)  so, the 4 year old was happy to do the other 5. Their Mom said they enjoyed the kit and they turned out great.",,Gift,AH6CATODIVPVUOJEWHRSRCSKAOHA,true
B003ZWDHXC,3,"",B003ZWDHXC,5.0,"This is my second pop-up toy from this company. The first one I got for my grandson was the fire truck and he loved it. Unfortunately  so did one of their dogs. Every time a peg would fly out the dog would snatch it up and run off with it and start to chew on it,  This will replace the chewed up ones.<br />Its a no frills toy , well made, easy for him to play with and he really enjoys it. What more can I ask for?",,A great no frills toy that delights the little ones.,AH6CATODIVPVUOJEWHRSRCSKAOHA,true
B00EIKW9G6,0,"",B00EIKW9G6,5.0,Cute no bells and whistles toy. Got this for my Grandson for Christmas and I think he will love it.,,Got this for my Grandson for Christmas and I think he will love it.,AH6CATODIVPVUOJEWHRSRCSKAOHA,true
B00009ZKRO,0,"IMAGE,https://images-na.ssl-images-amazon.com/images/I/D1VUrrlkoNS._SL1600_.jpg,https://images-na.ssl-images-amazon.com/images/I/D1VUrrlkoNS._SL800_.jpg,https://images-na.ssl-images-amazon.com/images/I/D1VUrrlkoNS._SL256_.jpg",B09NPJGN9N,5.0,The larger size is fantastic for kids and the planets design is pretty. I think this will last a long time. It feels very sturdy and my 2 yr old hasn't ruined it yet.,,Great size for kids!,AEO4M665ZOCBF7HEFRMTUDHLSB5Q,true
B000JXKWYC,0,"",B000JXKWYC,5.0,"Grandchildren love it and its the first thing they look for when coming to visit.  Ages 4 and 6.  holds lots of other dinos too.  was confused about the 160 though, still don't know what that refers too.  This would make a great gift for a dino lover.",,great gift,AH6PLOGWYIVIWLJTY756BHNFD4YA,true
B08K4696Y3,0,"",B08K4696Y3,1.0,Did not work,,Don't buy it,AGFETIUFABYTBKH3H237OWO2FLBA,true
